Year,Manufacturer,Division,Car_Model,City_FE_Alternative,Hwy2 Fuel FE (Guide) - Alternative Fuel,Comb2 Fuel FE (Guide) - Alternative Fuel,Annual_Fuel_Cost_Conventional,Annual_Fuel_Cost_Alternative,Fuel_Efficiency_Rating,GHG_Rating,Savings_5Yrs,Spending_5Yrs,City_CO2,Hwy_CO2,Comb_CO2
2021,Mercedes-Benz,Mercedes-Benz,AMG C 43 4MATIC (convertible),19.0,27.0,22.0,2200,,4,4,,3500.0,464,330,404
2021,Mercedes-Benz,Mercedes-Benz,AMG C 43 4MATIC (coupe),19.0,27.0,22.0,2200,,4,4,,3500.0,471,333,409
2021,Mercedes-Benz,Mercedes-Benz,AMG C 63 (convertible),17.0,25.0,20.0,2450,,4,4,,4750.0,526,362,452
2021,Mercedes-Benz,Mercedes-Benz,AMG C 63 (coupe),17.0,26.0,20.0,2450,,4,4,,4750.0,518,344,440
2021,Mercedes-Benz,Mercedes-Benz,AMG C 63 S (convertible),17.0,25.0,20.0,2450,,4,4,,4750.0,526,362,452
2021,Mercedes-Benz,Mercedes-Benz,AMG C 63 S (coupe),17.0,26.0,20.0,2450,,4,4,,4750.0,518,344,440
2021,Mercedes-Benz,Mercedes-Benz,AMG E53 4MATIC+ (Convertible),21.0,27.0,23.0,2100,,5,5,,3000.0,427,331,384
2021,Mercedes-Benz,Mercedes-Benz,AMG E53 4MATIC+ (Coupe),21.0,28.0,24.0,2050,,5,5,,2750.0,425,321,378
2021,Mercedes-Benz,Mercedes-Benz,AMG S 63 4MATIC+ (convertible),14.0,24.0,17.0,2850,,3,3,,6750.0,616,379,510
2021,Mercedes-Benz,Mercedes-Benz,C 300 (convertible),23.0,31.0,26.0,1900,,5,5,,2000.0,393,291,347
2021,Mercedes-Benz,Mercedes-Benz,C 300 (Coupe),24.0,33.0,27.0,1800,,6,6,,1500.0,377,273,330
2021,Mercedes-Benz,Mercedes-Benz,C 300 4MATIC (convertible),22.0,30.0,25.0,1950,,5,5,,2250.0,408,299,359
2021,Mercedes-Benz,Mercedes-Benz,C 300 4MATIC (Coupe),23.0,32.0,26.0,1900,,5,5,,2000.0,386,281,338
2021,Mercedes-Benz,Mercedes-Benz,E 450 (convertible),23.0,30.0,25.0,1950,,5,5,,2250.0,393,296,349
2021,Mercedes-Benz,Mercedes-Benz,E 450 (coupe),23.0,31.0,26.0,1900,,5,5,,2000.0,383,290,341
2021,Mercedes-Benz,Mercedes-Benz,E 450 4MATIC (convertible),23.0,29.0,25.0,1950,,5,5,,2250.0,393,304,353
2021,Mercedes-Benz,Mercedes-Benz,E 450 4MATIC (coupe),23.0,30.0,25.0,1950,,5,5,,2250.0,391,300,350
2021,Mercedes-Benz,Mercedes-Benz,S 560 (convertible),16.0,26.0,20.0,2450,,4,4,,4750.0,547,342,454
2021,BMW,Mini,COOPER HARDTOP 2 DOOR,28.0,37.0,31.0,1550,,7,7,,250.0,313,240,280
2021,BMW,Mini,COOPER HARDTOP 2 DOOR,26.0,37.0,30.0,1600,,6,6,,500.0,333,242,292
2021,BMW,Mini,COOPER HARDTOP 4 DOOR,28.0,37.0,31.0,1550,,7,7,,250.0,313,240,280
2021,BMW,Mini,COOPER HARDTOP 4 DOOR,26.0,37.0,30.0,1600,,6,6,,500.0,333,242,292
2021,BMW,Mini,COOPER S HARDTOP 2 DOOR,26.0,35.0,30.0,1600,,6,6,,500.0,336,252,299
2021,BMW,Mini,COOPER S HARDTOP 2 DOOR,23.0,33.0,27.0,1800,,6,6,,1500.0,381,267,329
2021,BMW,Mini,COOPER S HARDTOP 4 DOOR,26.0,35.0,30.0,1600,,6,6,,500.0,336,252,299
2021,BMW,Mini,COOPER S HARDTOP 4 DOOR,23.0,33.0,27.0,1800,,6,6,,1500.0,381,267,329
2021,BMW,Mini,John Cooper Works GP,24.0,30.0,26.0,1900,,5,5,,2000.0,369,292,334
2021,BMW,Mini,JOHN COOPER WORKS HARDTOP,26.0,34.0,29.0,1700,,6,6,,1000.0,343,259,305
2021,BMW,Mini,JOHN COOPER WORKS HARDTOP,23.0,33.0,27.0,1800,,6,6,,1500.0,381,267,329
2021,Nissan,NISSAN,GT-R,16.0,22.0,18.0,2700,,3,3,,6000.0,542,409,482
2021,Roush,"Roush Industries, Inc.",Roush Mustang,12.0,19.0,15.0,3250,,2,2,,8750.0,713,475,606
2021,Roush,"Roush Industries, Inc.",Roush Mustang,12.0,19.0,14.0,3500,,1,1,,10000.0,733,478,618
2021,Honda,Acura,ILX,24.0,34.0,28.0,1750,,6,6,,1250.0,365,257,316
2021,Honda,Acura,TLX AWD,21.0,29.0,24.0,2050,,5,5,,2750.0,424,303,369
2021,Honda,Acura,TLX AWD A-SPEC,21.0,29.0,24.0,2050,,5,5,,2750.0,425,305,371
2021,Honda,Acura,TLX FWD,22.0,31.0,25.0,1950,,5,5,,2250.0,404,289,352
2021,Honda,Acura,TLX FWD A-SPEC,22.0,30.0,25.0,1950,,5,5,,2250.0,408,295,357
2021,Honda,Acura,TLX Type-S,19.0,25.0,21.0,2300,,4,4,,4000.0,464,353,420
2021,Honda,Acura,TLX Type-S Perf Tire,19.0,24.0,21.0,2300,,4,4,,4000.0,463,368,421
2021,Volkswagen Group of,Audi,A4 quattro,25.0,34.0,28.0,1750,,6,6,,1250.0,351,262,311
